ID,V_fMag,V_fPhase,I_fMag,I_fPhase,Power_fW,Power_fVar,Power_fVa,Power_fPf,Power_fQ,Freq,Year,Seconds_of_Year,
215,24.5126,0.0,-0.36893,0.0,-0.004073,-0.047862,0.282362,-0.043486,-0.020293,59.8439,2018,0,
216,24.5167,0.0,-1.27419,0.0,-0.004079,0.113502,0.217459,0.096256,-0.027744,59.4435,2018,0,
217,24.5204,0.0,-0.240655,0.0,-0.003999,0.211404,0.211448,0.181082,-0.022941,58.8748,2018,0,
218,24.5242,0.0,-0.363127,0.0,-0.004122,0.039628,0.202967,0.032257,-0.061969,60.0988,2018,0,
219,24.5278,0.0,-0.910013,0.0,-0.004004,0.125912,0.279922,0.107041,-0.012681,58.9776,2018,0,
220,24.5319,0.0,-0.540635,0.0,-0.004385,0.039501,0.136343,0.032016,-0.031283,59.9273,2018,0,
221,24.5353,0.0,0.743819,0.0,-0.003715,0.087129,0.314585,0.073598,-0.008494,59.6898,2018,0,
222,24.539,0.0,0.229711,0.0,-0.004258,0.201674,0.218979,0.172525,-0.018358,60.7277,2018,0,
223,24.5427,0.0,-0.529649,0.0,-0.003993,0.08785,0.308349,0.074084,-0.01081,59.8423,2018,0,
224,24.5467,0.0,0.553019,0.0,-0.00463,-0.093789,0.234469,-0.083539,-0.015074,59.289,2018,0,
225,24.5505,0.0,-0.998012,0.0,-0.004386,0.148846,0.15923,0.126711,-0.040165,60.0776,2018,0,
226,24.5538,0.0,0.472885,0.0,-0.004044,0.029296,0.264118,0.023349,-0.028985,60.0867,2018,0,
227,24.558,0.0,-0.161121,0.0,-0.004081,0.062698,0.155992,0.052257,-0.089261,60.2047,2018,0,
228,24.5617,0.0,-0.146065,0.0,-0.004491,0.137795,0.140868,0.117088,-0.036787,60.197,2018,0,
229,24.5652,0.0,-0.491123,0.0,-0.003934,0.119756,0.155944,0.101745,-0.042618,59.9795,2018,0,
